model_name,baseline,snake_case-camel_case,snake_case-pascal_case,snake_case-screaming_snake_case,lparentheses_name,lparentheses_rparentheses,rparentheses_colon,rparentheses_rparentheses,lsquarebracket_name,period_name,rsquarebracket_rparentheses,op_lsquarebracket,op_rsquarebracket,op_dash,op_name,op_all
Llama-3.1-8B-Instruct,49.87,51.04,50.91,50.65,49.87,49.22,50.65,50.13,49.35,50.26,50.65,50.65,50.78,50.39,50.39,49.87
Llama-3.2-3B-Instruct,39.12,40.03,37.56,38.08,40.16,38.73,38.47,37.95,40.03,39.12,39.77,39.64,38.6,39.38,40.41,37.44
Llama-3.3-70B-Instruct,69.04,68.91,68.65,66.19,69.04,68.39,69.17,69.3,68.26,67.49,69.3,68.78,68.91,68.65,67.62,67.62
Qwen2.5-Coder-1.5B-Instruct,40.67,39.77,39.25,39.38,39.64,39.38,40.67,40.54,40.67,39.77,40.54,40.41,40.8,40.54,39.38,38.34
Qwen2.5-Coder-32B-Instruct,76.17,77.85,77.72,76.81,76.68,74.09,77.46,76.55,76.42,76.3,73.19,75.91,76.94,76.68,76.55,75.13
Qwen2.5-Coder-7B-Instruct,64.51,65.03,64.77,64.51,63.08,63.73,63.99,64.9,63.34,62.69,64.51,64.77,64.12,64.51,61.92,63.08
deepseek-coder-1.3b-instruct,44.82,44.3,42.88,42.23,43.65,45.08,44.56,44.3,44.3,44.17,44.82,43.65,44.43,44.69,42.62,42.49
deepseek-coder-33b-instruct,68.13,68.39,68.39,67.62,67.23,67.49,67.1,67.1,67.23,67.23,67.36,67.75,66.71,67.62,66.32,67.36
deepseek-coder-6.7b-instruct,61.92,61.53,61.53,61.14,61.27,61.66,62.05,62.05,62.69,61.66,61.92,62.44,62.69,62.56,60.49,62.05
average,57.14,57.43,56.85,56.29,56.74,56.42,57.12,56.98,56.92,56.52,56.9,57.11,57.11,57.22,56.19,55.93